timestep,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,dof_pos_0,dof_pos_1,dof_pos_2,dof_pos_3,dof_pos_4,dof_pos_5,dof_pos_6,dof_pos_7,dof_pos_8,dof_pos_9,dof_vel_0,dof_vel_1,dof_vel_2,dof_vel_3,dof_vel_4,dof_vel_5,dof_vel_6,dof_vel_7,dof_vel_8,dof_vel_9,torque_0,torque_1,torque_2,torque_3,torque_4,torque_5,torque_6,torque_7,torque_8,torque_9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33168739080429077,0.11546015739440918,-0.6844961047172546,-0.44668877124786377,-3.363919734954834,-0.5327723026275635,0.7812589406967163,-0.5323966145515442,-0.729921281337738,-0.723491370677948,0.07376819103956223,-0.08930717408657074,-0.08786197751760483,-0.06875037401914597,-0.06203707307577133,-0.02653125859797001,-0.027400638908147812,-0.045015208423137665,0.012511816807091236,-0.0833391323685646,-0.8749148845672607,1.1818360090255737,-0.026937274262309074,-0.6905984282493591,6.0950517654418945,-0.32790708541870117,-1.0481981039047241,0.25750821828842163,-1.6658810377120972,-6.113153457641602,1.644728660583496,-0.8963942527770996,0.4619181156158447,-1.384120225906372,16.303401947021484,-2.622772693634033,6.785853862762451,-1.0376176834106445,0.7460160255432129,-18.51275062561035
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8061476945877075,-1.4097943305969238,-0.3560759723186493,-0.42670679092407227,-0.5296804308891296,-0.1563165783882141,-0.2769349217414856,-0.9217107892036438,1.0610506534576416,2.7181661128997803,0.08559434860944748,-0.08211086690425873,-0.09151481837034225,-0.07942622900009155,-0.06611742079257965,-0.029250236228108406,-0.03610435500741005,-0.050707750022411346,0.02453310415148735,-0.07736693322658539,2.078789710998535,0.4772093892097473,-0.13875088095664978,-1.3249818086624146,6.101460933685303,0.015610573813319206,-0.5856230854988098,-0.47782206535339355,1.9556258916854858,-6.098011493682861,5.724422454833984,-3.2262392044067383,1.0866912603378296,-0.04328930377960205,17.258691787719727,-2.0535106658935547,3.2174534797668457,-0.27764832973480225,1.3079910278320312,-16.445337295532227
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0699867010116577,-0.6772986054420471,-0.3562445640563965,-0.7248381972312927,-0.6994571685791016,-0.7102774381637573,0.2546071410179138,-0.39744335412979126,0.5467454791069031,1.5078884363174438,0.10762666165828705,-0.07929134368896484,-0.09338198602199554,-0.09834272414445877,-0.06795580685138702,-0.0394686721265316,-0.0386921688914299,-0.052479371428489685,0.04805733636021614,-0.07016856223344803,2.2439420223236084,0.18954765796661377,-0.018621470779180527,-2.394782781600952,6.106106758117676,-1.4197089672088623,-0.03418033570051193,-0.1302047073841095,2.606182813644409,-6.096197605133057,3.619260787963867,-2.1192526817321777,0.857424259185791,-1.0120551586151123,17.817811965942383,-4.353096961975098,2.505120038986206,-0.20531415939331055,0.26078128814697266,-16.24167251586914
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2672408819198608,-0.18071354925632477,-0.20819303393363953,-0.7879863977432251,0.05120343714952469,-0.6307618021965027,0.15701209008693695,0.32222527265548706,0.4069782495498657,1.3242106437683105,0.1273522973060608,-0.07870559394359589,-0.09266671538352966,-0.09930571913719177,-0.06826446950435638,-0.05227047950029373,-0.037225816398859024,-0.04873992130160332,0.06295128911733627,-0.06333750486373901,2.002250909805298,0.0870375782251358,0.2022095024585724,0.023146845400333405,6.155726909637451,-1.3468010425567627,0.27606236934661865,0.4438367486000061,1.9096993207931519,-6.096656799316406,3.45357608795166,-0.6209872364997864,0.6133102774620056,-3.523188591003418,18.544273376464844,-3.663175106048584,1.1989372968673706,0.1655063033103943,0.8496541976928711,-16.331024169921875
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0896073579788208,0.515142560005188,-0.35054194927215576,-0.8264383673667908,-0.037352435290813446,-0.5462062954902649,0.4693167805671692,0.702589213848114,-0.04682576656341553,0.7117215394973755,0.1471637636423111,-0.07488234341144562,-0.09130404889583588,-0.09932296723127365,-0.06810379773378372,-0.06072185933589935,-0.03068387694656849,-0.03629368543624878,0.05783799663186073,-0.058681901544332504,1.660459280014038,0.5949584245681763,0.24850477278232574,0.023768335580825806,6.159825801849365,-1.018960952758789,0.7986489534378052,1.2762033939361572,-0.022243918851017952,-6.10220193862915,1.5602331161499023,1.5657551288604736,0.3795337378978729,-4.766147136688232,18.751230239868164,-2.4019973278045654,0.5458788871765137,0.3030519485473633,1.0130577087402344,-17.03122901916504
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.142863154411316,2.019484758377075,-0.6455468535423279,-0.36399078369140625,0.34360557794570923,-0.14730656147003174,0.5364062190055847,-0.1252760887145996,-0.45525747537612915,1.2266708612442017,0.1461428552865982,-0.059624988585710526,-0.09441683441400528,-0.07253614068031311,-0.06567073613405228,-0.05428936332464218,-0.012674960307776928,-0.033155184239149094,0.03698144853115082,-0.0530579574406147,1.0683058500289917,2.395526647567749,-0.8174695372581482,1.7477891445159912,-2.164302349090576,1.0346258878707886,2.431166410446167,0.25672727823257446,-1.1448017358779907,-6.09832239151001,4.952665328979492,1.0188660621643066,1.5101604461669922,-10.10466194152832,7.777801513671875,-5.0561113357543945,-4.374503135681152,1.0495370626449585,1.2482671737670898,-16.823223114013672
60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2953842878341675,2.76196551322937,-0.5704089999198914,0.24741575121879578,-2.420938014984131,-0.21908962726593018,0.029895663261413574,-0.20923465490341187,-1.5930273532867432,-1.1667732000350952,0.13851161301136017,-0.04441894590854645,-0.09277648478746414,-0.05133333057165146,-0.07664141058921814,-0.04837654158473015,0.007694906555116177,-0.044553205370903015,0.026185451075434685,0.005763329565525055,-1.3461135625839233,1.3077105283737183,0.2660358250141144,2.443847179412842,-3.508225440979004,0.43257784843444824,2.2784037590026855,-0.7654095888137817,-0.5731642246246338,6.5379719734191895,-5.656078815460205,8.82302188873291,-1.343083143234253,-0.37573814392089844,-1.7930023670196533,-1.7770270109176636,-6.413946628570557,2.6470534801483154,-20.645366668701172,-20.96232795715332
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.288734495639801,0.8421597480773926,-0.247117817401886,0.37000975012779236,-1.6598904132843018,0.017750874161720276,-2.4488978385925293,-1.563333511352539,-0.834023654460907,-0.3329770565032959,0.11965068429708481,-0.042177632451057434,-0.08955810964107513,-0.02388041839003563,-0.07696572691202164,-0.05340484157204628,0.016428407281637192,-0.05297314375638962,0.03990083932876587,0.023638267070055008,-1.8971147537231445,-0.3968321681022644,0.48985913395881653,2.8989357948303223,-6.011877059936523,-0.06652535498142242,0.2565648853778839,-0.025448352098464966,0.8350986838340759,0.2728862464427948,-5.782824516296387,6.494288444519043,-0.45660483837127686,-0.8835954666137695,-3.7639641761779785,4.3087873458862305,-13.193488121032715,-6.39492130279541,-19.614429473876953,-2.3097245693206787
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40876322984695435,-0.0386977456510067,0.5218803286552429,-0.17271897196769714,-1.1422617435455322,0.0935845673084259,-3.2041985988616943,-0.7792294025421143,-0.5587106347084045,-1.592738151550293,0.10028673708438873,-0.04903886467218399,-0.0777495801448822,-0.0135272815823555,-0.06816118210554123,-0.04666471853852272,0.006146060302853584,-0.06225686892867088,0.030724283307790756,0.02680433727800846,-2.2783379554748535,-0.868151068687439,1.2066643238067627,1.2368556261062622,-6.011846542358398,0.867041289806366,-1.7004177570343018,-1.1575367450714111,-1.3915431499481201,-0.17943201959133148,-5.022006034851074,5.021831512451172,-0.6484405994415283,-1.8707164525985718,-3.6864805221557617,1.489607810974121,-10.235612869262695,-0.39423322677612305,-7.430549621582031,-3.8922252655029297
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25892704725265503,-0.3481817841529846,-0.04229394346475601,-0.4695205092430115,-0.5828957557678223,0.2050507515668869,-3.052147150039673,-0.1629028618335724,-0.8006576299667358,-3.467419385910034,0.0807485282421112,-0.0604611374437809,-0.06915391981601715,-0.0075331940315663815,-0.06095685064792633,-0.035719793289899826,-0.012821353040635586,-0.07021097093820572,0.01117182057350874,0.02836635150015354,-1.6614875793457031,-1.2850295305252075,0.8990347981452942,2.0098953247070312,0.6120295524597168,1.1118900775909424,-1.9742845296859741,-0.6340547800064087,-2.1306800842285156,-0.21475940942764282,-4.191013813018799,4.519895553588867,-0.8145869970321655,-8.469481468200684,-1.4791290760040283,1.3939344882965088,-9.27490520477295,0.4840303659439087,-5.885900020599365,-2.647766590118408
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23979370296001434,-1.6617155075073242,0.20033976435661316,-0.8464793562889099,-0.01021016389131546,-0.44008755683898926,-0.9189414381980896,1.3503694534301758,0.476105272769928,-4.5493645668029785,0.07631213217973709,-0.07364599406719208,-0.06708496809005737,-0.001657456741668284,-0.06276798248291016,-0.034046486020088196,-0.025809602811932564,-0.05951742082834244,0.009762813337147236,0.019758647307753563,-0.33140257000923157,-1.2023037672042847,0.06483155488967896,0.2489689141511917,-0.758916437625885,0.010218311101198196,-1.0586299896240234,1.0369571447372437,-0.8615370988845825,6.0799560546875,-3.149383068084717,-0.10579657554626465,1.8860864639282227,-10.49160385131836,2.522991180419922,-0.6607836484909058,-5.060178756713867,1.7668485641479492,-2.2175657749176025,14.194198608398438
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6039788722991943,-2.2664425373077393,1.0987491607666016,-0.5459919571876526,1.0071865320205688,-0.8023356199264526,0.8415210247039795,1.2283400297164917,2.6551358699798584,-3.2110865116119385,0.07739102095365524,-0.07910219579935074,-0.0672936886548996,-0.006560293026268482,-0.06240891292691231,-0.059977173805236816,-0.024065092206001282,-0.03497503697872162,0.10153058916330338,0.005646889563649893,0.4652283787727356,-0.3543142080307007,0.05616661161184311,-0.7413918972015381,-0.23632431030273438,-2.2415618896484375,0.5485594868659973,2.2052812576293945,8.854801177978516,6.0790252685546875,2.3593626022338867,-7.881455421447754,6.835019111633301,-5.9529314041137695,2.236391544342041,-1.4651551246643066,1.8575708866119385,-0.4151577949523926,3.4248695373535156,14.461969375610352
120,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.6228895783424377,-2.17895245552063,0.6079434752464294,-0.6472312808036804,0.9806607365608215,-1.323814034461975,1.025901436805725,-0.3346050977706909,2.4139955043792725,-1.8616081476211548,0.08169069141149521,-0.0806579440832138,-0.06928946822881699,-0.01797926053404808,-0.05873430147767067,-0.08766520023345947,-0.017545092850923538,-0.031919270753860474,0.18903115391731262,-0.002615407109260559,0.3145911991596222,-0.08033286780118942,-0.38065990805625916,-1.119675636291504,0.08223950862884521,-2.9107565879821777,0.8805761337280273,0.21245133876800537,7.696202278137207,6.091660022735596,3.3419299125671387,-8.848566055297852,6.2049784660339355,-5.244795322418213,1.358842372894287,-4.188704490661621,2.3587000370025635,-0.6682512164115906,-2.15533447265625,15.78070068359375
130,0.09801715612411499,0.9951847195625305,0.5470820069313049,-0.35265204310417175,-0.476224422454834,0.09396888315677643,-0.12211640179157257,-0.10103588551282883,-0.10101255774497986,-0.09490223228931427,-0.005574718117713928,0.002946221735328436,-0.02037578634917736,0.046849098056554794,-0.12080302834510803,-0.06479840725660324,0.004209741484373808,0.04965396225452423,0.047289181500673294,0.2940247356891632,-0.0030154194682836533,-0.21336226165294647,0.06563233584165573,-0.010765641927719116,-0.29545456171035767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7720968723297119,0.4483669400215149,1.3227746486663818,-0.019022157415747643,-0.0368913859128952,0.008938203565776348,0.93265300989151,-2.703204393386841,1.1243699789047241,-0.6363799571990967,2.2671213150024414,-1.1655126810073853,0.5954526662826538,-0.25906723737716675,2.3270294666290283,-1.4075082540512085,0.08773941546678543,-0.08118583261966705,-0.06849347800016403,-0.031400419771671295,-0.05437431111931801,-0.1142159029841423,-0.008975779637694359,-0.031746186316013336,0.2648864686489105,-0.009484253823757172,0.6394116282463074,-0.11730455607175827,0.004140108823776245,-1.2162636518478394,0.07468324899673462,-2.430638074874878,0.8118816018104553,-0.013796868734061718,6.4310994148254395,6.095065116882324,4.510733604431152,-10.257488250732422,6.1395263671875,-3.976060628890991,2.1303181648254395,-3.5764617919921875,1.401158094406128,-0.40240880846977234,-1.7525444030761719,16.236309051513672
140,0.19509035348892212,0.9807852506637573,1.0,0.0,-0.010824441909790039,0.0443410724401474,-0.08303892612457275,-0.08109096437692642,-0.08340330421924591,-0.05705850198864937,0.0032788310199975967,-0.03200635686516762,-0.05008641257882118,-0.005570142529904842,-0.09571411460638046,-0.056516338139772415,0.0738222748041153,0.008406470529735088,-0.016187109053134918,0.3047585189342499,-0.025609828531742096,-0.03385439142584801,-0.0040239738300442696,-0.09616576135158539,-0.3219929039478302,0.19024237990379333,0.0648348331451416,-0.405652791261673,-0.2619571089744568,-1.9494496583938599,-0.3130935728549957,0.4489744305610657,-0.31651026010513306,-0.44292086362838745,-0.4310796856880188,-0.022160101681947708,0.7067191004753113,1.0831869840621948,-0.03914472460746765,0.02390327677130699,0.006298606283962727,1.296990990638733,-2.4946067333221436,1.1011015176773071,-0.6355223059654236,2.8870387077331543,-1.3347615003585815,0.2422117441892624,0.05068785697221756,2.1495914459228516,-0.8009517788887024,0.09922699630260468,-0.08289671689271927,-0.0662483423948288,-0.0470166876912117,-0.05017479881644249,-0.1345577836036682,-0.0022734252270311117,-0.0304880328476429,0.3210420310497284,-0.013830991461873055,1.2587181329727173,-0.27458441257476807,0.1894586980342865,-1.4544005393981934,0.04236903786659241,-1.9575190544128418,0.5176270008087158,0.13070274889469147,4.614840984344482,6.100759506225586,7.1849164962768555,-9.935474395751953,6.2070536613464355,-2.4866585731506348,2.981403112411499,-5.472014427185059,0.4520913362503052,-0.11834681034088135,-2.1264429092407227,16.93789291381836
150,0.290284663438797,0.9569403529167175,1.0,0.0,-0.015072107315063477,0.07008905708789825,-0.09173902124166489,-0.09476127475500107,-0.04457009211182594,-0.08831000328063965,-0.048697128891944885,-0.03461906313896179,-0.05508166179060936,-0.00678667426109314,-0.05205743759870529,0.09882532060146332,0.02681919001042843,-0.017835838720202446,-0.07572217285633087,0.3054870665073395,-0.007569946814328432,-0.033615775406360626,-0.02375585213303566,0.10728923976421356,-0.31161636114120483,1.0721461772918701,-0.7398212552070618,-0.3865739703178406,-0.35069718956947327,-1.187022089958191,-0.23645740747451782,0.0552588514983654,-0.6490976810455322,0.36037155985832214,1.280463695526123,0.032414861023426056,-0.3065287172794342,0.6734728813171387,-0.0034879762679338455,0.009991367347538471,0.03189433366060257,1.1581844091415405,-2.028062582015991,1.431460976600647,-0.7632622122764587,3.0449163913726807,-1.2638269662857056,0.17552067339420319,0.2619496285915375,1.6652637720108032,-0.5547313094139099,0.115328349173069,-0.0858817994594574,-0.05735425278544426,-0.06468591839075089,-0.0461178794503212,-0.14856113493442535,0.0018359632231295109,-0.025219717994332314,0.34393271803855896,-0.015316317789256573,0.10691229999065399,-0.4633469581604004,0.1119653582572937,1.250920057296753,-3.6133203506469727,-1.564532995223999,0.47480836510658264,0.5797491073608398,1.3012187480926514,6.080189228057861,6.064635753631592,-7.526946067810059,5.583895683288574,-2.253819465637207,3.6000452041625977,-5.6723785400390625,-0.057510554790496826,0.019492506980895996,-2.248018741607666,17.71529197692871
160,0.38268348574638367,0.9238795042037964,1.0,0.0,-0.017583370208740234,0.0761478990316391,-0.06408365815877914,-0.04710928350687027,-0.07409264147281647,-0.10031628608703613,-0.02231389656662941,-0.07342132925987244,-0.055039502680301666,0.0655740350484848,-0.048808880150318146,0.1011955663561821,0.028924159705638885,-0.0022362004965543747,-0.10517586022615433,0.311924546957016,-0.05865025520324707,-0.008227626793086529,-0.02705065906047821,0.10987040400505066,-0.31137484312057495,1.0716372728347778,-0.6973239183425903,-0.37499403953552246,-0.6897104382514954,-0.7366138100624084,-0.6991352438926697,0.24057434499263763,-0.42194458842277527,0.529358983039856,1.476743459701538,0.01129128411412239,-0.003242645412683487,0.3575003743171692,-0.0060364846140146255,0.004527980461716652,0.04893242567777634,0.9495894908905029,-1.295169472694397,0.8696619868278503,-0.8505045771598816,2.302812099456787,-1.1681879758834839,0.1721394956111908,0.6917769312858582,0.9152042269706726,-0.348818838596344,0.13143973052501678,-0.08959510922431946,-0.04536144435405731,-0.08492446690797806,-0.04311539605259895,-0.15903902053833008,0.005425890441983938,-0.014826692640781403,0.33463746309280396,-0.016075022518634796,1.6730040311813354,-0.4694041609764099,1.0392149686813354,-2.0289621353149414,-0.0021284185349941254,-1.3472023010253906,0.18809282779693604,1.0533499717712402,-1.5652183294296265,6.10826301574707,2.1909446716308594,-4.201717376708984,2.175145387649536,-0.8141412734985352,3.1270358562469482,-3.9210915565490723,-0.01609581708908081,0.017993450164794922,-2.2640345096588135,17.980173110961914
170,0.4713967740535736,0.8819212317466736,1.0,0.0,-0.018924951553344727,0.1302521526813507,-0.09759809076786041,-0.056614551693201065,-0.11376019567251205,-0.04857641085982323,-0.0373525395989418,-0.006647592410445213,-0.07059380412101746,0.09529875218868256,-0.10193270444869995,0.09721717238426208,-0.007888969033956528,0.014091025106608868,-0.011729715391993523,0.3168553113937378,-0.0701284110546112,-0.0033997073769569397,0.010711855255067348,0.06739472597837448,-0.28396207094192505,1.2145730257034302,-0.4149397015571594,-0.28145816922187805,-0.747715950012207,-0.3108398914337158,-0.6727789044380188,0.1963055580854416,-0.02620759978890419,0.4623650312423706,1.426750898361206,0.08194156736135483,-0.223055899143219,0.14457060396671295,-0.009840901009738445,0.005320003721863031,0.0536605566740036,0.6519372463226318,0.5601988434791565,0.797163188457489,-0.43497878313064575,2.2168781757354736,-0.7933539748191833,1.028187870979309,0.5089386701583862,0.41743671894073486,0.29124340415000916,0.13935069739818573,-0.08765120059251785,-0.03125673532485962,-0.09265286475419998,-0.039715725928545,-0.1662157028913498,0.013725419528782368,-0.003650343744084239,0.29944607615470886,-0.014629100449383259,0.5174514651298523,0.5383467078208923,1.2617735862731934,-0.6103076934814453,0.07720308005809784,-0.6872693300247192,1.1069520711898804,0.9572553634643555,-3.912886381149292,6.113423824310303,0.5787293910980225,1.675750494003296,0.7941522598266602,0.25289392471313477,2.71978497505188,-0.5787408351898193,0.9500470161437988,-0.44124412536621094,-1.5244617462158203,18.706134796142578
