timestep,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,q_0,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,dq_0,dq_1,dq_2,dq_3,dq_4,dq_5,dq_6,dq_7,dq_8,dq_9,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9,tau_0,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9
0,0.0,1.0,0.800000011920929,0.0,0.0,8.248602255319744e-21,1.2331266875261718e-20,-2.6272860532708114e-20,-2.336982332092638e-20,4.382686905524079e-20,1.1767789664844749e-20,1.109466417123762e-20,2.825178190390326e-20,-3.0474959047110236e-20,4.382686905524079e-20,4.124301079192258e-19,6.165633679968929e-19,-1.3136430492536256e-18,-1.168491153121622e-18,2.191343304128023e-18,5.883894929357602e-19,5.547332198709909e-19,1.4125891533563e-18,-1.5237479588178603e-18,2.191343304128023e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008717414923012257,-0.00016094904276542366,-0.00258592888712883,2.8476812076405622e-05,-4.423024074640125e-05,0.021424883976578712,0.35334765911102295,0.3624829649925232,-0.04656047374010086,-0.2964913845062256,-1.9502081871032715,0.02447521686553955,0.6176389455795288,-0.0069869086146354675,-0.4130293130874634,-0.20853976905345917,8.248602289409917e-21,1.2331267206091661e-20,-2.6272860581335694e-20,-2.3369822633218283e-20,4.3826867925095595e-20,1.1767789673281413e-20,1.1094663939859192e-20,2.8251783174942757e-20,-3.047495916081723e-20,4.3826867925095577e-20,8.248602289409916e-18,1.2331267206091661e-17,-2.6272860581335695e-17,-2.3369822633218284e-17,4.3826867925095595e-17,1.1767789673281413e-17,1.1094663939859191e-17,2.8251783174942756e-17,-3.047495916081723e-17,4.3826867925095576e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4910778914017946e-17,-3.7733677650640486e-17,7.93440389556338e-17,7.104426080498358e-17,-1.315244306432119e-16,-3.553872481330987e-17,-3.394967165596912e-17,-8.532038518832712e-17,9.325337503210072e-17,-1.3152443064321182e-16
10,0.0980171412229538,0.9951847195625305,0.800000011920929,0.0,0.0,2.1598280347361054e-13,5.388236786006001e-14,2.221041140717736e-13,-5.295990642556481e-12,7.669208323957122e-11,2.0851391089021093e-13,-2.9965718356108825e-14,-2.049117575923451e-13,-5.210331298355353e-12,7.549269542828085e-11,1.2076798762417074e-11,3.012770154880995e-12,1.241903715282211e-11,-2.9612762242337e-10,4.2882710715730354e-09,1.1659216127279937e-11,-1.6756075693624695e-12,-1.1457792180313842e-11,-2.9133884194010307e-10,4.221219818134614e-09,0.35334765911102295,0.3624829649925232,-0.04656047374010086,-0.2964913845062256,-1.9502081871032715,0.02447521686553955,0.6176389455795288,-0.0069869086146354675,-0.4130293130874634,-0.20853976905345917,0.004355542827397585,-0.0008832947351038456,-0.0004327416536398232,0.000316724122967571,9.541912004351616e-05,0.021951816976070404,0.3273351788520813,0.04824746027588844,0.12407137453556061,-0.06615228950977325,-1.7263725996017456,0.05758728086948395,0.6357573866844177,-0.11696742475032806,-0.2186124473810196,0.047300368547439575,2.1598279789087574e-13,5.3882367508196586e-14,2.221041178542999e-13,-5.295990524292501e-12,7.669208080639768e-11,2.0851391388968953e-13,-2.996571902732214e-14,-2.0491175786031263e-13,-5.210331299962472e-12,7.54926946160329e-11,2.415359719382565e-10,6.025540497764947e-11,2.483807443712655e-10,-5.922552509842918e-09,8.576541741738864e-08,2.3318431419925464e-10,-3.3512151389386824e-11,-2.291558391915851e-10,-5.8267766117989594e-09,8.442439988037319e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.289275717725871e-10,-1.8399915698344021e-10,-7.495843154708825e-10,1.7979497150500455e-08,-2.573729443329724e-07,-7.037232208755578e-10,1.023343973097998e-10,6.915657527319615e-10,1.7792949713394626e-08,-2.533486923357356e-07
20,0.19509032368659973,0.9807852506637573,0.800000011920929,0.0,0.0,0.0002401632518740371,1.8339500456932e-05,7.729387289145961e-05,-0.0004729621869046241,-0.0037015127018094063,0.00023741206678096205,-5.305665581545327e-06,-5.4840500524733216e-05,-0.000493688159622252,-0.0031497436575591564,0.014402586966753006,0.0015116368886083364,0.006315378937870264,-0.08209056407213211,0.6596762537956238,0.01418138574808836,-0.0005954685620963573,-0.005002298858016729,-0.0821651741862297,0.6738316416740417,0.3273351788520813,0.04824746027588844,0.12407137453556061,-0.06615228950977325,-1.7263725996017456,0.05758728086948395,0.6357573866844177,-0.11696742475032806,-0.2186124473810196,0.047300368547439575,-0.0006929782684892416,-0.025119900703430176,0.0006239869981072843,-0.0005345267709344625,-0.00033636120497249067,0.02049461007118225,0.21065615117549896,0.4485814571380615,-0.2915927469730377,0.12495792657136917,-2.2965993881225586,-0.04544687643647194,0.9505264759063721,-0.27341780066490173,-0.5004688501358032,-0.08186124265193939,0.0002401632586184126,1.8339499574804964e-05,7.729387441864442e-05,-0.00047296218965226216,-0.003701512804615231,0.00023741207142288185,-5.305665655057268e-06,-5.4840501494070795e-05,-0.000493688182674441,-0.003149743693586596,0.2880517440694159,0.0302327381702226,0.12630757422147018,-1.6418113513461752,13.19352524901521,0.28362771138083637,-0.011909371078865406,-0.10004597665815537,-1.643303433482382,13.476633146742891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.868958497380616,-0.0917985844851561,-0.3804686001527834,4.944352541624617,-39.57687423424101,-0.8556313755709668,0.036046453175899655,0.3012347400043475,4.959531591407612,-40.42674969653509
30,0.290284663438797,0.9569403529167175,0.800000011920929,0.0,0.0,0.0012133457930758595,-0.0005466481670737267,-0.00010010709229391068,-0.0005987434997223318,-0.03546862304210663,0.0011933763744309545,-0.0005646900972351432,-0.00022746917966287583,-0.0007047312101349235,-0.031871430575847626,0.0172863956540823,-0.0029522355180233717,0.008230657316744328,-0.07766328006982803,0.6343192458152771,0.017055464908480644,-0.005309324245899916,-0.004821959417313337,-0.0775507390499115,0.6499754190444946,0.21065615117549896,0.4485814571380615,-0.2915927469730377,0.12495792657136917,-2.2965993881225586,-0.04544687643647194,0.9505264759063721,-0.27341780066490173,-0.5004688501358032,-0.08186124265193939,-0.034825023263692856,-0.04621979966759682,0.0021123625338077545,-0.000136873873998411,-0.00023829928250052035,0.021324560046195984,-0.11266857385635376,1.0004323720932007,-0.4776865839958191,0.2379683256149292,-2.9067587852478027,-0.3317665457725525,0.8572885990142822,-0.3095535933971405,-0.9158406257629395,-0.3255217671394348,0.001213345820418368,-0.0005466481423236518,-0.00010010709301906011,-0.0005987434913483033,-0.035468623802914684,0.0011933763762826367,-0.000564690076249508,-0.00022746917880928796,-0.0007047312038650228,-0.031871429156400746,0.34572791565089134,-0.05904471109430358,0.1646131434575763,-1.5532655357512415,12.68638497179306,0.34110928677013475,-0.10618648786640107,-0.09643918698284604,-1.551014735801909,12.999508668396402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0614506633610414,0.20993302182232984,-0.4918372885123477,4.683746346907657,-38.02368629157627,-1.0471953878360571,0.3524408681741737,0.2938669445247239,4.695328079637629,-38.9666545760328
40,0.3826834261417389,0.9238795042037964,0.800000011920929,0.0,0.0,0.0044353860430419445,-0.0030327849090099335,-0.0006757170776836574,-0.001179590355604887,-0.0721425861120224,0.004439957439899445,-0.003039479022845626,-0.0008001018431968987,-0.001487657893449068,-0.06487585604190826,0.03658781200647354,-0.018958088010549545,0.004355652257800102,-0.07872866094112396,0.5949505567550659,0.03680671751499176,-0.02124052867293358,-0.008351421914994717,-0.08007550239562988,0.6165436506271362,-0.11266857385635376,1.0004323720932007,-0.4776865839958191,0.2379683256149292,-2.9067587852478027,-0.3317665457725525,0.8572885990142822,-0.3095535933971405,-0.9158406257629395,-0.3255217671394348,-0.1291569322347641,-0.2029527872800827,-0.02566230110824108,-0.0007715242099948227,-0.001839146250858903,0.02154538221657276,0.009537294507026672,0.6821078062057495,-0.4824243187904358,0.3853754997253418,-3.1245388984680176,-0.2902752757072449,0.5275521278381348,-0.10987178236246109,-0.7882208824157715,-0.48192065954208374,0.004435386177479159,-0.003032784815557379,-0.0006757170675210097,-0.0011795903823205091,-0.0721425862973948,0.004439957215293953,-0.0030394790138043525,-0.0008001018685663398,-0.0014876579149451538,-0.06487585934958708,0.7317562734100302,-0.37916177665331124,0.08711304495047167,-1.5745732693197303,11.899011027650857,0.7361343318657189,-0.4248105566620812,-0.1670284450356729,-1.6015100360185808,12.330873105248621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2839765437796737,1.3194524188933765,-0.24782479350099482,4.770903423252012,-35.624890496655176,-2.297202139903036,1.4568004108145045,0.5170873724783455,4.893789582952451,-36.92774345639628
50,0.4713967442512512,0.8819212913513184,0.800000011920929,0.0,0.0,0.005868482869118452,-0.009100990369915962,-0.0014992112992331386,0.00698652071878314,-0.0666147917509079,0.007276369724422693,-0.009139900095760822,-0.0016598475631326437,0.005639517679810524,-0.06982289999723434,-0.055613044649362564,-0.01252236869186163,0.00606481172144413,0.15830720961093903,0.11617101728916168,-0.03522077575325966,-0.012620341964066029,0.005760487634688616,0.11549615114927292,0.14177322387695312,0.009537294507026672,0.6821078062057495,-0.4824243187904358,0.3853754997253418,-3.1245388984680176,-0.2902752757072449,0.5275521278381348,-0.10987178236246109,-0.7882208824157715,-0.48192065954208374,-0.24229609966278076,-0.47731906175613403,-0.03718972206115723,-0.0031113645527511835,-0.004562792833894491,0.021188020706176758,-0.11621825397014618,0.8273836970329285,-0.41921722888946533,-0.01418820396065712,-3.4878928661346436,-0.38228535652160645,0.4190506339073181,-0.029508795589208603,-1.040091633796692,-1.741431713104248,0.005868482759949492,-0.009100990041713252,-0.0014992112978333381,0.006986520504279151,-0.0666147909836077,0.007276369824539847,-0.00913990043149214,-0.001659847518743897,0.0056395174900820254,-0.06982290307493201,-1.1122609235976877,-0.2504473830723338,0.12129623234409347,3.166144295506289,2.323420368024478,-0.7044154909714772,-0.25240683684729676,0.11520975070860709,2.3099230060337113,2.835464375184209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2194131155940733,1.2974015517197965,-0.3339044710756136,-9.777893706690033,-6.903646313089826,1.9677190764236343,1.3056145364314187,-0.3124323017509434,-7.268140067506055,-8.436570222477695
60,0.5555702447891235,0.8314695954322815,0.800000011920929,0.0,0.0,0.0031176945194602013,-0.0102674700319767,-0.0008048659074120224,0.033014386892318726,-0.04734083265066147,0.006159605458378792,-0.0103458808735013,-0.0011930710170418024,0.027673695236444473,-0.04713459312915802,0.022946013137698174,-0.004892989527434111,0.0022943674121052027,0.09892092645168304,0.10717135667800903,0.03935735300183296,-0.006356040481477976,-0.003516062628477812,0.03291745483875275,0.26074448227882385,-0.11621825397014618,0.8273836970329285,-0.41921722888946533,-0.01418820396065712,-3.4878928661346436,-0.38228535652160645,0.4190506339073181,-0.029508795589208603,-1.040091633796692,-1.741431713104248,-0.07409650087356567,-1.0803070068359375,-0.024549206718802452,-0.005108469631522894,-0.012585501186549664,0.021912528201937675,-0.18671481311321259,0.7775893211364746,-0.7622228264808655,-0.4117429852485657,-4.1854248046875,-0.6613529920578003,0.1295032501220703,-0.023949990049004555,-1.3027851581573486,-3.4626054763793945,0.003117694411162821,-0.010267469611832634,-0.0008048658924818951,0.033014385431148256,-0.04734083314587108,0.006159605639066301,-0.010345880421100054,-0.001193070967934938,0.02767369435513332,-0.047134594265507944,0.45892024596202197,-0.09785979183029435,0.045887347117290714,1.9784185730710753,2.143427091926277,0.7871470784489744,-0.12712081042129197,-0.07032125189972066,0.6583490813329456,5.214889686594136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4391146261093224,0.909627552200841,-0.12156472350223425,-7.255831136459156,-6.382940442632959,-2.484633348128249,1.0021152565298792,0.23482517505786074,-3.635468905306836,-15.5975344655169
70,0.6343932747840881,0.7730104327201843,0.800000011920929,0.0,0.0,0.012577084824442863,-0.012461616657674313,-0.0006417972035706043,0.05169834569096565,-0.007152663078159094,0.01838766224682331,-0.013303609564900398,-0.0023553548380732536,0.03895128518342972,-0.03726407513022423,0.08092448860406876,-0.012740736827254295,0.0024348304141312838,-0.051327481865882874,1.4842572212219238,0.06940972805023193,-0.013445693999528885,-0.0019698317628353834,0.0926629826426506,0.0769563689827919,-0.18671481311321259,0.7775893211364746,-0.7622228264808655,-0.4117429852485657,-4.1854248046875,-0.6613529920578003,0.1295032501220703,-0.023949990049004555,-1.3027851581573486,-3.4626054763793945,-0.21825429797172546,-1.643677830696106,-0.10828673839569092,-0.005740095395594835,-0.027539702132344246,0.02042524144053459,-0.37190526723861694,0.5637450814247131,-0.5268198251724243,-0.7769640684127808,-4.561939716339111,-0.7794835567474365,0.5421526432037354,0.3517830967903137,-1.0295542478561401,-4.0500054359436035,0.012577084650757372,-0.012461616649995934,-0.0006417972158676918,0.051698344898889,-0.007152662860211521,0.01838766167451998,-0.013303609584412773,-0.0023553549051312187,0.03895128621614535,-0.03726407506304795,1.6184898009467283,-0.25481473517595715,0.04869660882122477,-1.0265496699748615,29.68514392461174,1.3881945754456528,-0.2689138818065262,-0.03939663412092263,1.8532596739702651,1.539127428855097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.1070110958553325,1.5121412045276275,-0.13325388214632047,1.0117152139690244,-89.04827911097502,-4.532336959827359,1.6049582204843449,0.16529700046539228,-7.896856194879517,-4.580118211502243
80,0.7071067690849304,0.7071067690849304,0.800000011920929,0.0,0.0,0.03770075738430023,-0.02107979729771614,-0.0009405224118381739,0.0661599338054657,-0.05464677885174751,0.03843975439667702,-0.021399209275841713,-0.002067380119115114,0.05773390457034111,-0.04629462584853172,0.09648516774177551,-0.05137772485613823,0.004708123859018087,0.16313250362873077,-0.12185237556695938,0.16360270977020264,-0.051431939005851746,0.003046168014407158,0.015985414385795593,-0.04269254580140114,-0.37190526723861694,0.5637450814247131,-0.5268198251724243,-0.7769640684127808,-4.561939716339111,-0.7794835567474365,0.5421526432037354,0.3517830967903137,-1.0295542478561401,-4.0500054359436035,-0.7290849685668945,-2.321286201477051,-0.220275416970253,-0.011421793140470982,-0.04846395179629326,0.018391331657767296,-0.7987589836120605,-0.08815192431211472,-0.38528215885162354,-1.3295493125915527,-4.4299163818359375,-0.7049744725227356,0.19402526319026947,0.04417317360639572,-0.9137352108955383,-4.872191905975342,0.03770075685589788,-0.021079796612499865,-0.0009405224163420551,0.06615993305681481,-0.054646779610930556,0.03843975508767673,-0.021399209818814668,-0.0020673802320567624,0.057733904570034154,-0.04629462562234221,1.9297033980164893,-1.0275544777058998,0.09416248031680532,3.2626499435333702,-2.437047530175143,3.27205417199301,-1.0286387841346611,0.060923362521606204,0.3197082878293985,-0.8538509001170884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.543125331167426,4.347451229867691,-0.2636769926235749,-12.434347152872704,7.36578937013636,-10.584957617732565,4.3698689415328635,-0.14142248292368337,-4.423159137690245,2.6078473259736077
90,0.7730104327201843,0.6343932747840881,0.800000011920929,0.0,0.0,0.0758277028799057,-0.0360005646944046,-0.0015349785098806024,0.08364461362361908,-0.07763652503490448,0.08865521103143692,-0.037651341408491135,-0.004297027364373207,0.047562893480062485,-0.05459082871675491,0.2659556269645691,-0.10399104654788971,-0.007496824022382498,0.043954573571681976,-0.11562003195285797,0.32657405734062195,-0.1258707195520401,-0.029476139694452286,-0.08537377417087555,-0.052710484713315964,-0.7987589836120605,-0.08815192431211472,-0.38528215885162354,-1.3295493125915527,-4.4299163818359375,-0.7049744725227356,0.19402526319026947,0.04417317360639572,-0.9137352108955383,-4.872191905975342,-1.2863199710845947,-3.6708428859710693,-0.661422848701477,-0.020244175568223,-0.07852797955274582,0.014810191467404366,-1.3257074356079102,-0.5362176895141602,-0.11243914812803268,-1.7255659103393555,-3.7350826263427734,-0.26439428329467773,0.2630312442779541,-0.3376697897911072,-0.4765129089355469,-4.952660083770752,0.07582770658839767,-0.03600056537599983,-0.0015349785466869724,0.08364461259695681,-0.07763652592526046,0.08865521470761656,-0.037651341649111714,-0.004297027339509856,0.04756289412814474,-0.05459083056400817,5.319112495439609,-2.0798209808327623,-0.14993648244488866,0.8790914920772511,-2.3124005823487312,6.531481368420111,-2.5174142748663995,-0.5895227951595445,-1.7074754303015711,-1.054209721136298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.473891618086782,8.399496865058277,0.4805090182684054,-5.983058980110026,7.0148382729714545,-21.367548399412666,9.811323323545901,1.8545089322688306,2.268652643216029,3.2172199939729023
