Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00131563281983566,-0.00060806258007705,0.137384875685227,0,0,0,3.60000247863321,0.0125609277575706,8.6074523392914E-05,-8.42121322918175E-06,0.00529411779355462,5.04444486872755E-05,0.00917871186778057,0,0,0,0,0,0,package://body_0926/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://body_0926/meshes/base_link.STL,,chest-1,base_cord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
loin_yaw,0.00018124055119131,4.45989171530166E-07,-0.0422741121359502,0,0,0,0.673827156984923,0.000865199639490024,2.18442444592928E-09,-6.76749571580581E-07,0.000316918942470459,-1.90407058876183E-10,0.000977615598081916,0,0,0,0,0,0,package://body_0926/meshes/loin_yaw.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://body_0926/meshes/loin_yaw.STL,,connector-1,loin_yaw_cord,loin_yaw_axis,loin_yaw_joint,revolute,0,0,-0.005,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
leg_l1,0.00197214029052135,0.045437794276183,-0.000135737803479141,0,0,0,0.253607698116558,0.000134646555335744,-4.20724600177779E-07,-6.97898398344405E-07,0.000119332268666788,6.00710204304302E-06,0.000172847817263812,0,0,0,0,0,0,package://body_0926/meshes/leg_l1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://body_0926/meshes/leg_l1.STL,,left_hip_lr_motor-1,leg_l1_cord,leg_l1_axis,leg_l1_joint,revolute,0,0.0496000081773711,-0.0570000000004782,0,0,0,loin_yaw,0,1,0,0,0,-0.9,0.9,,,,,,,,
leg_l2,-0.0291199280534827,1.06199715538408E-05,-0.0358195898363571,0,0,0,0.095901931709411,7.92420218445345E-05,-1.6051411236E-09,3.29673030281462E-06,0.000130635930759485,-2.59226913077532E-10,0.000110945157204442,0,0,0,0,0,0,package://body_0926/meshes/leg_l2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://body_0926/meshes/leg_l2.STL,,left_hip_lr_connector-1,leg_l2_cord,leg_l2_axis,leg_l2_joint,revolute,0.0271000000005301,0.0459499999996874,0,0,0,0,leg_l1,-1,0,0,0,0,-0.05,0.7,,,,,,,,
leg_l3,-0.00016856314603382,0.000798704678838885,-0.0701267665233698,0,0,0,0.460279230794127,0.000682352933385247,1.70304725927578E-07,2.56310995795999E-06,0.000590581387510956,-1.36619744379625E-05,0.000230566473840614,0,0,0,0,0,0,package://body_0926/meshes/leg_l3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://body_0926/meshes/leg_l3.STL,,left_thigh-1,leg_l3_cord,leg_l3_axis,leg_l3_joint,revolute,-0.0271499999934677,0,-0.0740000000023893,0,0,0,leg_l2,0,0,-1,0,0,-0.8,0.8,,,,,,,,
leg_l4,-0.0022770236151511,-0.0277883611099162,-0.0826474110106563,0,0,0,0.25780252501563,0.000497168127288963,-1.4623827708905E-08,-2.65637263268134E-07,0.000536858117604927,3.21405738706319E-07,7.8367679028294E-05,0,0,0,0,0,0,package://body_0926/meshes/leg_l4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://body_0926/meshes/leg_l4.STL,,left_calf-1,leg_l4_cord,leg_l4_axis,leg_l4_joint,revolute,0,0.0271000000001188,-0.117049999999972,0,0,0,leg_l3,0,-1,0,0,0,-0.1,1.8,,,,,,,,
leg_l5,0.0145611828344786,-0.0199995601688862,-0.0137651899210866,0,0,0,0.136735951104808,4.75431777108231E-05,-1.14018535984589E-09,1.97672677577001E-05,0.000294200183998198,4.2501915806706E-11,0.000313378471806043,0,0,0,0,0,0,package://body_0926/meshes/leg_l5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://body_0926/meshes/leg_l5.STL,,left_foot-1,leg_l5_cord,leg_l5_axis,leg_l5_joint,revolute,0,-0.00709999999740331,-0.200000000000092,0,0,0,leg_l4,0,-1,0,0,0,0.3,0.9,,,,,,,,
leg_r1,0.00197049603022036,-0.0454676335467138,-0.000147016961480978,0,0,0,0.253409170777096,0.000134320103357949,4.30374879394354E-07,-6.97529823794351E-07,0.000119287556302132,-6.04520755774105E-06,0.00017253471653123,0,0,0,0,0,0,package://body_0926/meshes/leg_r1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://body_0926/meshes/leg_r1.STL,,right_hip_lr_motor-1,leg_r1_cord,leg_r1_axis,leg_r1_joint,revolute,0,-0.0495999918226289,-0.0569999999995216,0,0,0,loin_yaw,0,1,0,0,0,0,0,,,,,,,,
leg_r2,-0.029119928056649,1.06199715543542E-05,-0.0358224011508697,0,0,0,0.0959019317094106,7.92420218451148E-05,-1.60514112734303E-09,3.29673030560823E-06,0.000130635930759484,-2.59226906723774E-10,0.00011094515720386,0,0,0,0,0,0,package://body_0926/meshes/leg_r2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://body_0926/meshes/leg_r2.STL,,right_hip_lr_connector-1,leg_r2_cord,leg_r2_axis,leg_r2_joint,revolute,0.0270999999994667,-0.0459500000003151,0,0,0,0,leg_r1,-1,0,0,0,0,0,0,,,,,,,,
leg_r3,0.000284853772726906,-0.00079869955661363,-0.0701274345182918,0,0,0,0.460279200579914,0.000682463230739524,-9.64403372512498E-08,-1.87540751657078E-06,0.00059068616274301,1.36822825719233E-05,0.000230563117110192,0,0,0,0,0,0,package://body_0926/meshes/leg_r3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://body_0926/meshes/leg_r3.STL,,right_thigh-2,leg_r3_cord,leg_r3_axis,leg_r3_joint,revolute,-0.0271499999999982,0,-0.0740526859428612,0,0,0,leg_r2,0,0,-1,0,0,0,0,,,,,,,,
